T,prod_1,prod_2,prod_3,prod_4,prod_5,prod_6,prod_7,prod_8,prod_9,prod_10
1,0,1,1,1,1,1,1,1,1,1
2,0,0,1,1,0,1,1,1,1,0
3,0,0,1,1,0,1,1,1,1,0
4,0,0,1,1,0,0,0,0,1,0
5,0,1,1,1,0,1,1,1,1,0
6,0,1,1,1,0,0,1,1,1,0
7,1,1,1,1,0,1,1,1,1,1
8,0,0,1,1,0,0,1,1,0,0
9,0,0,1,1,0,1,1,1,1,0
10,0,0,1,1,0,0,0,0,1,0
11,0,1,1,0,0,0,0,0,1,0
12,0,0,1,1,0,0,1,1,0,0
13,0,0,1,1,0,0,1,1,1,0
14,0,0,1,1,0,1,1,1,1,0
15,1,1,1,1,0,1,1,1,1,1
16,0,1,1,1,0,1,1,1,1,0
17,0,0,1,1,0,0,1,1,0,0
18,0,0,1,1,0,0,0,0,1,0
19,0,0,1,1,0,0,0,0,1,0
20,0,1,1,0,0,0,0,0,1,0
21,0,0,1,0,0,0,1,1,0,0
22,0,1,1,1,0,1,1,1,1,0
23,0,0,1,0,0,0,1,1,0,0
24,0,1,1,1,0,1,1,1,1,0
25,0,1,1,1,0,1,1,1,1,0
26,0,1,1,1,0,1,1,1,1,0
27,0,1,1,1,0,1,1,1,1,0
28,0,0,1,0,0,0,1,1,0,0
29,0,1,1,1,0,1,1,1,1,0
30,0,1,1,1,0,1,1,1,1,0
31,0,0,1,0,0,0,1,1,0,0
32,0,0,1,0,0,0,1,1,0,0
33,0,0,1,0,0,0,1,1,0,0
34,0,1,1,0,0,0,0,0,1,0
35,0,0,0,0,0,0,1,1,0,0
36,0,0,1,0,0,0,1,1,0,0
37,1,1,1,1,0,1,0,1,1,1
38,1,1,1,1,1,1,1,1,1,1
39,0,0,1,0,0,0,1,1,0,0
40,0,0,1,0,0,0,0,0,1,1
41,0,1,1,1,0,1,1,1,1,0
42,0,1,1,1,0,1,1,1,1,0
43,0,1,1,1,0,1,1,1,1,0
44,0,1,1,1,0,1,1,1,1,0
45,0,1,1,1,0,1,1,1,1,0
46,0,1,1,0,0,0,0,0,1,0
47,0,0,1,0,0,0,1,1,0,0
48,1,1,1,1,1,1,1,1,1,1
49,0,0,0,0,0,0,0,1,0,0
50,1,1,1,1,1,1,1,1,1,1
51,1,1,1,1,0,1,1,1,1,1
52,0,1,1,1,0,1,0,1,1,0
53,0,0,1,0,0,0,1,1,0,0
54,0,0,1,1,0,1,1,1,1,0
55,0,0,1,0,0,0,1,1,0,0
56,0,0,1,0,0,0,0,0,1,1
57,0,1,1,0,0,0,0,0,1,0
58,0,1,1,0,0,0,0,0,1,0
59,0,1,1,0,0,0,0,0,1,0
60,0,0,1,1,0,0,1,1,1,0
61,1,1,1,1,0,1,1,1,1,1
62,0,1,1,1,0,1,1,1,1,1
63,0,0,1,1,0,1,1,1,1,0
64,1,1,1,1,1,1,1,1,1,1
65,0,1,1,1,0,1,1,1,1,0
66,0,0,1,1,0,0,0,0,1,0
67,1,1,1,1,1,1,1,1,1,1
68,0,0,1,1,0,0,0,0,1,0
69,0,0,0,0,0,0,1,1,0,0
70,0,1,1,1,1,1,1,1,1,1
71,0,1,1,1,1,1,1,1,1,1
72,0,0,1,0,0,0,1,1,0,0
73,0,1,1,1,0,1,1,1,1,0
74,1,1,1,1,0,1,1,1,1,1
75,0,1,1,0,0,0,0,0,1,0
76,1,1,1,1,0,1,1,1,1,0
77,0,0,1,1,0,1,1,1,1,0
78,1,1,1,1,0,1,1,1,1,0
79,1,1,1,1,1,0,1,1,1,0
80,1,1,1,1,0,1,1,1,1,0
81,1,1,1,1,0,1,1,1,1,1
82,1,1,1,1,0,1,1,1,1,1
83,1,1,1,1,0,1,1,1,1,1
84,0,0,1,0,0,0,0,0,1,1
85,1,1,1,1,0,1,1,1,1,1
86,1,0,1,1,1,1,1,1,1,1
87,1,1,1,1,1,1,1,1,1,1
88,1,1,1,1,0,1,1,1,1,1
89,1,1,1,1,1,0,1,1,1,0
90,1,1,1,1,0,1,1,1,1,0
91,1,0,1,1,1,1,1,1,1,1
92,1,1,1,1,1,0,1,1,1,0
93,1,1,1,1,0,1,0,1,1,1
94,1,0,1,1,1,1,1,1,1,1
95,1,1,1,1,0,1,1,1,1,1
96,0,1,1,1,0,1,1,1,1,0
97,1,1,1,1,0,1,1,1,1,1
98,0,0,1,0,0,0,0,0,1,1
