T,prod_num
1,2
2,3
3,3
4,9
5,3
6,7
7,4
8,3
9,3
10,9
11,3
12,3
13,3
14,9
15,2
16,3
17,3
18,9
19,4
20,9
21,3
22,4
23,3
24,2
25,2
26,8
27,8
28,3
29,2
30,2
31,3
32,3
33,3
34,3
35,7
36,3
37,10
38,4
39,3
40,10
41,2
42,2
43,2
44,4
45,2
46,2
47,3
48,9
49,8
50,4
51,2
52,2
53,3
54,6
55,3
56,3
57,2
58,9
59,9
60,9
61,4
62,9
63,6
64,10
65,2
66,4
67,5
68,9
69,8
70,2
71,2
72,3
73,6
74,4
75,2
76,4
77,6
78,1
79,4
80,2
81,4
82,2
83,4
84,9
85,4
86,10
87,2
88,4
89,4
90,4
91,9
92,4
93,10
94,3
95,10
96,8
97,2
98,9
99,10
100,4
101,4
102,9
103,9
104,10
105,7
106,10
107,10
108,10
109,9
110,4
111,2
112,4
113,6
114,4
115,8
116,9
117,2
118,3
119,9
120,3
121,2
122,2
123,2
124,4
125,4
126,2
127,2
128,2
129,10
130,4
131,2
132,5
133,8
134,3
135,4
136,2
137,2
138,7
139,7
140,2
141,2
142,3
143,2
144,2
145,2
146,3
147,8
148,10
149,1
150,4
151,3
152,10
153,2
154,6
155,10
156,3
157,4
158,8
159,2
160,8
161,4
162,6
163,8
164,8
165,3
166,8
167,8
168,2
169,6
170,3
171,3
172,2
173,4
174,3
175,2
176,3
177,3
178,2
179,3
180,3
181,8
182,3
183,3
184,2
185,4
186,4
187,8
188,3
189,6
190,3
191,6
192,2
193,3
194,9
195,9
196,8
197,3
198,3
199,9
200,3
201,9
202,7
203,2
204,9
205,7
206,2
207,8
208,2
209,4
210,2
211,2
212,2
213,2
214,4
215,4
216,2
217,2
218,2
219,3
220,3
221,3
222,9
223,7
224,4
225,10
226,9
227,7
228,4
229,8
230,2
231,3
232,2
233,10
234,2
235,3
236,2
237,3
238,2
239,2
240,7
241,2
242,7
243,2
244,7
245,2
246,3
247,3
248,3
249,8
250,2
251,9
252,3
253,3
254,9
255,4
256,6
257,2
258,3
259,4
260,7
261,2
262,9
263,9
264,3
265,3
266,9
267,9
268,7
269,2
270,2
271,2
272,2
273,2
274,4
275,2
276,2
277,2
278,7
279,3
280,2
281,2
282,4
283,9
284,2
285,4
286,9
287,2
288,2
289,3
290,2
291,2
292,2
293,2
294,3
295,2
296,4
297,2
298,2
299,2
300,2
301,6
302,3
303,2
304,2
305,7
306,8
307,2
308,7
309,10
310,5
311,4
312,2
313,2
314,4
315,3
316,3
317,4
318,7
319,2
320,2
321,9
322,4
323,9
324,5
325,8
326,3
327,10
328,6
329,10
330,10
331,7
332,10
333,10
334,3
335,4
336,10
337,9
338,6
339,7
340,6
341,2
342,10
343,8
344,10
345,2
346,4
347,7
348,2
349,3
350,3
351,7
352,2
353,6
354,10
355,2
356,6
357,2
358,2
359,2
360,4
361,2
362,3
363,2
364,2
365,2
366,9
367,3
368,9
369,1
370,4
371,3
372,4
373,2
374,4
375,2
376,2
377,3
378,4
379,2
380,2
381,2
382,6
383,2
384,4
385,2
386,3
387,3
388,4
389,3
390,2
391,2
392,4
393,4
394,3
395,7
396,3
397,7
398,2
399,2
400,3
401,2
402,3
403,3
404,8
405,3
406,7
407,3
408,2
409,9
410,3
411,3
412,8
413,3
414,8
415,2
416,7
417,9
418,4
419,3
420,3
421,2
422,3
423,2
424,3
425,9
426,2
427,9
428,3
429,3
430,4
431,4
432,10
433,6
434,4
435,7
436,3
437,4
438,4
439,6
440,2
441,4
442,8
443,4
444,2
445,10
446,2
447,6
448,2
449,6
450,4
451,3
452,8
453,4
454,2
455,2
456,3
457,9
458,3
459,3
460,2
461,5
462,9
463,2
464,9
465,9
466,7
467,3
468,9
469,6
470,2
471,8
472,8
473,6
474,2
475,2
476,8
477,3
478,3
479,3
480,2
481,7
482,3
483,6
484,4
485,3
486,7
487,3
488,9
489,2
490,3
491,3
492,3
493,6
494,3
495,2
496,8
497,9
498,2
499,2
500,8
501,5
502,2
503,3
504,2
505,3
506,9
507,2
508,4
509,2
510,2
511,3
512,8
513,3
514,3
515,2
516,9
517,9
518,9
519,2
520,4
521,4
522,2
523,9
524,6
525,3
526,10
527,6
528,3
529,9
530,3
531,4
532,9
533,8
534,9
535,2
536,9
537,4
538,3
539,9
540,4
541,3
542,8
543,2
544,2
545,8
546,2
547,3
548,3
549,2
550,3
551,9
552,4
553,2
554,2
555,8
556,8
557,3
558,3
559,3
560,2
561,4
562,3
563,3
564,2
565,9
566,3
567,3
568,3
569,3
570,2
571,8
572,4
573,8
574,9
575,2
576,8
577,4
578,3
579,3
580,9
581,8
582,6
583,6
584,3
585,3
586,9
587,4
588,3
589,2
590,3
591,9
592,2
593,5
594,2
595,9
596,4
597,9
598,9
599,6
600,3
601,9
602,9
603,4
604,9
605,2
606,2
607,3
608,2
609,8
610,6
611,3
612,8
613,4
614,4
615,9
616,3
617,9
618,9
619,6
620,9
621,3
622,9
623,2
624,2
625,2
626,3
627,5
628,4
629,8
630,3
631,9
632,3
633,2
634,9
635,2
636,3
637,3
638,4
639,10
640,2
641,2
642,3
643,3
644,3
645,4
646,2
647,3
648,3
649,4
650,8
651,4
652,6
653,3
654,9
655,3
656,3
657,4
658,3
659,9
660,3
661,3
662,9
663,3
664,2
665,4
666,3
667,9
668,6
669,3
670,8
671,3
672,3
673,3
674,9
675,3
676,3
677,6
678,8
679,8
680,9
681,9
682,9
683,3
684,9
685,3
686,9
687,9
688,3
689,9
690,6
691,8
692,3
693,7
694,3
695,10
696,8
697,9
698,9
699,2
700,6
701,3
702,9
703,9
704,3
705,3
706,6
707,2
708,4
709,6
710,2
711,8
712,4
713,8
714,5
715,2
716,3
717,2
718,7
719,9
720,6
721,7
722,6
723,6
724,7
725,7
726,3
727,3
728,7
729,3
730,3
731,9
732,4
733,9
734,9
735,4
736,3
737,2
738,3
739,9
740,3
741,3
742,3
743,2
744,3
745,2
746,6
747,3
748,3
749,8
750,9
751,9
752,9
753,2
754,4
755,4
756,2
757,2
758,6
759,9
760,9
761,3
762,3
763,8
764,2
765,8
766,2
767,8
768,6
769,4
770,3
771,3
772,9
773,2
774,4
775,6
776,4
777,4
778,2
779,3
780,9
781,3
782,10
783,3
784,3
785,2
786,8
787,9
788,9
789,3
790,4
791,8
792,8
793,3
794,2
795,3
796,2
797,9
798,4
799,3
800,7
801,3
802,3
803,3
804,2
805,4
806,8
807,2
808,2
809,2
810,2
811,7
812,6
813,2
814,3
815,9
816,3
817,2
818,3
819,2
820,2
821,4
822,4
823,3
824,2
825,2
826,3
827,9
828,3
829,3
830,2
831,8
832,9
833,2
834,3
835,7
836,3
837,3
838,9
839,3
840,2
841,2
842,4
843,10
844,9
845,5
846,7
847,2
848,4
849,7
850,2
851,9
852,2
853,5
854,10
855,3
856,5
857,4
858,2
859,3
860,9
861,5
862,2
863,10
864,2
865,2
866,2
867,2
868,5
869,2
870,9
871,2
872,2
873,4
874,5
875,2
876,4
877,2
878,4
879,1
880,2
881,2
882,3
883,5
884,10
885,2
886,2
887,5
888,2
889,10
890,2
891,2
892,8
893,4
894,2
895,9
896,2
897,4
898,9
899,2
900,3
901,3
902,9
903,2
904,5
905,9
906,4
907,7
908,4
909,7
910,9
911,5
912,8
913,9
914,3
915,9
916,4
917,5
918,2
919,1
920,9
921,2
922,4
923,4
924,2
925,10
926,4
927,1
928,3
929,6
930,5
931,10
932,4
933,3
934,3
935,9
936,1
937,8
938,10
939,4
940,10
941,2
942,9
943,10
944,8
945,2
946,2
947,10
