T,prod_1,prod_2,prod_3,prod_4,prod_5,prod_6,prod_7,prod_8,prod_9
1,1,1,1,1,1,1,1,0,1
2,0,1,1,0,0,0,0,0,1
3,1,1,0,1,1,1,1,1,1
4,1,1,1,1,1,1,1,1,1
5,1,1,1,1,1,1,1,1,1
6,1,1,0,0,0,0,1,0,1
7,1,1,1,0,1,1,1,0,1
8,1,1,1,0,1,1,1,0,1
9,1,1,1,1,0,1,1,1,1
10,1,0,1,1,1,1,1,1,1
11,1,1,1,1,1,1,1,1,1
12,1,1,1,0,1,1,1,0,1
13,1,1,1,1,1,1,1,1,1
14,1,1,1,1,1,1,1,0,1
15,1,1,1,1,1,1,1,0,1
16,1,1,1,1,1,1,1,1,1
17,1,1,1,1,1,1,1,1,1
18,1,1,1,1,1,1,1,0,1
19,1,1,1,1,1,1,1,1,1
20,1,1,1,1,1,1,1,1,1
21,1,1,1,1,1,1,1,0,1
22,1,1,1,0,1,1,1,0,1
23,1,1,1,1,1,1,1,1,1
24,1,1,1,1,1,1,1,0,1
25,1,1,1,1,1,1,1,1,1
26,1,1,1,1,1,1,1,1,1
27,0,1,1,0,0,0,0,0,1
28,1,1,1,1,1,1,1,1,1
29,1,1,1,1,1,1,1,1,1
30,1,1,1,1,1,1,1,1,1
31,1,1,1,1,1,1,1,1,1
32,1,1,1,1,1,1,1,0,1
33,1,1,1,1,0,1,1,1,1
34,1,1,1,1,0,1,1,1,1
35,1,1,1,1,1,1,1,0,1
36,1,1,1,1,1,1,1,1,1
37,1,1,1,1,1,1,1,0,0
38,1,1,1,1,1,1,1,1,1
39,1,1,1,1,1,1,1,1,1
40,1,1,1,1,1,1,1,1,1
41,1,1,1,1,1,1,1,0,0
42,1,1,1,1,1,1,1,0,1
43,1,1,1,1,1,1,1,1,1
44,1,1,1,1,1,1,1,0,1
45,1,1,1,1,1,0,1,0,0
46,1,1,1,1,1,1,1,0,1
47,0,0,1,1,1,0,1,0,0
48,1,1,1,1,1,0,1,0,0
49,0,1,1,0,0,0,0,0,1
50,0,1,1,0,0,0,0,0,1
51,1,1,1,1,1,1,1,0,1
52,1,1,1,1,1,1,1,0,1
53,1,1,1,1,1,1,1,1,1
54,1,1,1,1,0,1,1,1,1
55,1,1,1,1,1,1,1,1,1
56,1,1,1,1,1,1,1,0,0
57,1,1,1,1,1,1,1,0,0
58,1,1,1,1,1,0,1,0,0
59,0,1,1,0,0,0,1,0,0
60,0,0,1,1,1,1,1,0,1
61,1,1,0,1,1,1,1,1,1
62,0,1,1,0,1,1,1,1,1
63,0,0,1,1,1,1,1,0,1
64,1,1,1,1,1,1,1,1,1
65,1,1,1,1,1,1,1,0,1
66,0,1,1,0,0,1,1,0,1
67,1,1,1,1,1,1,1,1,1
68,1,0,1,1,0,1,1,1,1
69,0,1,1,0,0,0,0,0,1
70,1,1,1,1,1,1,1,0,1
71,0,0,1,1,1,1,1,0,1
72,1,1,1,1,1,1,1,0,1
73,1,1,1,1,1,1,1,0,1
74,1,1,1,1,1,1,1,0,1
75,0,0,1,1,1,1,1,0,1
76,1,1,1,1,1,1,1,0,1
77,0,0,1,1,1,1,1,0,1
78,0,0,1,1,1,1,1,0,1
79,1,1,1,1,1,1,1,0,1
80,0,0,1,1,1,1,1,0,1
81,1,1,1,1,1,1,1,0,1
82,1,1,1,1,1,1,1,0,1
83,1,1,1,1,1,1,1,0,1
84,1,0,1,0,1,0,1,0,0
85,0,0,1,1,1,0,1,0,1
86,1,0,1,1,1,1,1,0,0
87,1,1,1,1,1,1,1,1,1
88,1,1,1,1,0,1,1,0,1
89,1,1,1,1,1,1,1,0,1
90,1,1,1,1,1,1,1,0,1
91,1,1,1,1,1,1,1,0,1
92,1,1,1,1,1,1,1,1,1
93,0,1,1,0,0,0,0,0,1
94,1,1,1,1,1,1,1,1,1
95,1,1,1,1,1,1,1,0,1
96,1,1,1,1,1,1,1,0,1
97,1,1,1,1,1,1,1,0,1
98,1,0,1,1,1,1,1,1,1
99,1,1,1,1,1,1,1,0,0
100,1,1,1,1,1,1,1,1,1
101,1,1,1,1,1,1,1,0,1
102,1,1,1,1,1,1,1,1,1
103,1,1,1,1,1,1,1,0,1
104,1,1,1,1,1,1,1,1,1
105,1,1,1,1,1,1,1,0,0
106,1,0,1,1,1,1,1,1,1
107,1,1,1,1,0,1,1,1,1
108,1,1,1,1,1,1,1,0,0
109,1,0,1,1,1,1,1,1,1
110,1,1,1,1,0,0,1,1,1
111,1,0,1,1,1,1,1,1,1
112,1,0,1,1,1,1,1,1,1
113,1,1,1,1,0,1,1,1,1
114,1,0,1,1,1,1,1,1,1
115,1,0,1,1,1,1,1,1,1
116,1,0,1,1,1,1,1,1,1
117,1,0,1,1,1,1,1,1,1
118,1,0,1,1,1,0,1,1,0
119,1,0,1,1,1,1,1,1,1
120,1,1,1,1,1,1,1,0,0
121,1,0,1,0,0,1,1,0,1
122,1,1,1,0,0,1,1,0,1
123,1,1,1,0,1,1,1,0,1
124,1,1,1,0,1,1,1,1,1
125,1,1,1,0,1,1,1,0,1
126,0,1,1,0,1,1,1,0,1
127,1,1,1,0,1,1,1,1,1
128,1,1,1,0,1,1,1,1,1
129,0,1,1,0,1,1,1,0,1
130,1,1,1,0,1,1,1,0,1
131,1,1,1,0,1,1,1,1,1
132,1,1,1,1,0,1,1,1,1
133,0,1,1,0,1,1,1,0,1
134,0,1,1,0,1,1,1,1,1
135,0,1,1,0,1,1,1,0,1
136,0,0,1,0,1,1,1,0,0
137,0,1,1,0,1,1,1,0,1
138,0,1,1,0,1,1,1,0,1
139,0,0,1,0,1,0,1,0,0
140,0,0,1,0,1,1,1,0,0
141,0,0,1,0,1,1,1,0,0
142,0,0,1,0,1,1,1,0,1
143,0,1,1,0,1,1,1,1,1
144,0,0,1,0,1,1,1,0,1
145,0,1,1,0,1,1,1,1,1
146,0,0,1,0,1,1,1,0,1
147,0,1,1,0,1,1,1,1,1
148,0,0,1,0,1,1,1,0,0
149,1,1,1,0,1,1,1,1,1
150,0,1,1,0,1,1,1,1,1
151,0,0,1,0,1,1,1,0,0
152,0,1,1,0,1,1,1,0,1
153,0,0,1,0,1,1,1,0,0
154,0,1,1,0,1,1,1,1,1
155,0,1,1,0,1,1,1,0,1
156,1,0,1,0,0,0,1,0,1
157,1,0,1,0,1,1,1,0,0
158,1,0,1,0,1,1,1,0,0
159,1,1,1,0,0,1,1,1,1
160,1,0,1,0,0,1,1,0,1
161,1,0,1,0,0,1,1,0,1
162,1,0,1,0,1,1,1,0,1
163,0,1,1,0,1,1,1,0,1
164,0,1,1,0,1,1,1,0,1
165,0,1,1,1,1,1,1,0,0
166,1,1,1,1,1,1,1,1,1
167,1,1,1,1,1,1,1,1,1
168,1,0,1,0,0,1,1,0,0
169,1,0,1,0,0,1,1,0,0
170,0,1,1,0,0,0,0,0,1
171,1,0,1,0,0,1,1,0,0
172,1,0,0,0,0,1,1,0,1
173,0,1,1,0,0,0,0,0,1
174,1,1,1,0,1,1,1,0,1
175,1,1,1,0,1,1,1,0,1
176,1,0,0,0,0,1,1,0,1
177,0,1,1,0,1,1,1,0,0
178,1,1,1,0,1,1,1,0,1
179,1,1,1,0,1,1,1,1,0
180,1,0,1,1,1,0,1,0,1
181,1,1,1,0,1,1,1,0,1
182,1,1,1,1,1,1,1,1,1
183,1,1,1,0,1,0,1,1,1
184,1,1,1,0,1,0,1,1,1
185,1,1,1,0,1,1,1,1,0
186,1,1,1,0,1,0,1,1,1
187,1,1,1,0,0,0,1,1,1
188,1,1,1,1,1,1,1,1,1
189,1,0,1,0,0,0,1,1,0
190,1,1,1,0,0,0,1,1,1
191,1,0,1,0,0,0,1,1,0
192,1,0,1,0,0,0,1,1,0
193,1,1,1,0,0,0,1,1,1
194,1,0,1,0,0,0,1,1,0
195,1,1,1,0,0,0,1,1,1
196,1,1,1,0,1,1,1,0,1
197,1,1,1,0,1,1,1,1,1
198,1,1,1,0,1,1,1,0,1
199,1,1,1,0,0,1,1,1,1
200,1,1,1,0,1,0,1,0,0
201,1,1,1,0,1,1,1,0,0
202,1,1,1,0,1,1,1,0,0
203,1,1,1,0,1,1,1,0,0
204,0,0,1,0,0,0,1,1,0
205,1,1,1,0,1,0,1,0,0
206,1,1,1,1,1,1,1,1,1
207,1,1,1,0,1,1,1,1,1
208,1,0,1,1,1,1,1,1,1
209,1,0,1,1,1,1,1,1,1
210,1,0,1,1,1,1,1,1,1
211,1,0,1,1,1,1,1,1,1
212,1,1,1,1,1,1,1,0,1
213,1,0,1,1,1,1,1,1,1
214,1,1,1,1,1,1,1,1,1
215,1,0,1,1,1,1,1,0,0
216,1,1,1,0,1,1,1,1,1
217,1,0,1,1,1,1,1,1,1
218,1,1,1,1,0,1,1,1,1
219,1,1,1,1,1,1,1,0,1
220,1,1,1,1,1,1,1,0,1
221,1,1,1,1,0,1,1,1,1
222,1,1,1,1,1,1,1,1,1
223,1,0,0,1,0,1,1,0,1
224,1,0,0,1,0,1,1,0,1
225,1,1,1,1,0,1,1,0,1
226,1,1,1,1,1,1,1,0,1
