T,prod_num
1,11.0
2,0.0
3,7.0
4,14.0
5,3.0
6,12.0
7,0.0
8,12.0
9,14.0
10,13.0
11,5.0
12,2.0
13,7.0
14,0.0
15,0.0
16,0.0
17,6.0
18,0.0
19,12.0
20,0.0
21,7.0
22,0.0
23,0.0
24,0.0
25,0.0
26,3.0
27,12.0
28,10.0
29,9.0
30,9.0
31,2.0
32,0.0
33,0.0
34,9.0
35,0.0
36,11.0
37,10.0
38,1.0
39,4.0
40,1.0
41,3.0
42,9.0
43,7.0
44,14.0
45,0.0
46,6.0
47,0.0
48,9.0
49,11.0
50,11.0
51,4.0
52,4.0
53,9.0
54,3.0
55,0.0
56,9.0
57,1.0
58,7.0
59,11.0
60,5.0
61,0.0
62,12.0
63,14.0
64,14.0
65,0.0
66,9.0
67,0.0
68,0.0
69,9.0
70,6.0
71,3.0
72,5.0
73,14.0
74,2.0
75,11.0
76,15.0
77,14.0
78,0.0
79,4.0
80,9.0
81,0.0
82,13.0
83,9.0
84,1.0
85,12.0
86,10.0
87,0.0
88,0.0
89,11.0
90,2.0
91,7.0
92,14.0
93,2.0
94,12.0
95,0.0
96,0.0
97,0.0
98,9.0
99,9.0
100,5.0
101,0.0
102,14.0
103,2.0
104,12.0
105,14.0
106,0.0
107,11.0
108,10.0
109,11.0
110,0.0
111,14.0
112,0.0
113,14.0
114,0.0
115,0.0
116,7.0
117,0.0
118,4.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,14.0
125,14.0
126,14.0
127,5.0
128,2.0
129,10.0
130,15.0
131,13.0
132,0.0
133,15.0
134,15.0
135,0.0
136,0.0
137,0.0
138,10.0
139,9.0
140,0.0
141,5.0
142,0.0
143,13.0
144,11.0
145,0.0
146,14.0
147,0.0
148,4.0
149,0.0
150,0.0
151,1.0
152,9.0
153,0.0
154,3.0
155,11.0
156,12.0
157,15.0
158,12.0
159,1.0
160,2.0
161,0.0
162,9.0
163,12.0
164,15.0
165,6.0
166,9.0
167,11.0
168,12.0
169,0.0
170,6.0
171,0.0
172,3.0
173,12.0
174,6.0
175,4.0
176,9.0
177,14.0
178,2.0
179,0.0
180,7.0
181,13.0
182,0.0
183,0.0
184,0.0
185,13.0
186,11.0
187,12.0
188,9.0
189,0.0
190,2.0
191,12.0
192,0.0
193,12.0
194,0.0
195,4.0
196,0.0
197,10.0
198,13.0
199,14.0
200,12.0
201,0.0
202,6.0
203,14.0
204,0.0
205,3.0
206,3.0
207,9.0
208,14.0
209,0.0
210,10.0
211,12.0
212,3.0
213,14.0
214,0.0
215,0.0
216,0.0
217,15.0
218,5.0
219,7.0
220,3.0
221,0.0
222,6.0
223,11.0
224,0.0
225,13.0
226,14.0
227,14.0
228,11.0
229,14.0
230,9.0
231,0.0
232,0.0
233,0.0
234,0.0
235,14.0
236,7.0
237,12.0
238,0.0
239,7.0
240,11.0
241,14.0
242,12.0
243,0.0
244,7.0
245,11.0
246,12.0
247,14.0
248,10.0
249,3.0
250,9.0
251,14.0
252,0.0
253,0.0
254,7.0
255,0.0
256,14.0
257,13.0
258,2.0
259,0.0
260,9.0
261,0.0
262,0.0
263,13.0
264,7.0
265,0.0
266,12.0
267,13.0
268,0.0
269,11.0
270,11.0
271,7.0
272,6.0
273,2.0
274,12.0
275,0.0
276,15.0
277,0.0
278,4.0
279,2.0
280,9.0
281,0.0
282,12.0
283,9.0
284,0.0
285,6.0
286,7.0
287,9.0
288,0.0
289,13.0
290,12.0
291,0.0
292,0.0
293,0.0
294,0.0
295,0.0
296,1.0
297,0.0
298,0.0
